Insert 	 213	 At node20	 TIME: 	141.28366726741504
Insert 	 203	 At node15	 TIME: 	141.417261557752
Insert 	 203	 At node24	 TIME: 	141.5752400847324
Insert 	 192	 At node56	 TIME: 	142.03506173749153
Insert 	 186	 At node56	 TIME: 	142.08022308031525
Insert 	 197	 At node51	 TIME: 	142.14405292904047
Insert 	 192	 At node51	 TIME: 	142.1603426220503
Insert 	 213	 At node19	 TIME: 	142.2652171595751
Insert 	 197	 At node2	 TIME: 	142.9545655555791
Insert 	 192	 At node59	 TIME: 	143.66958224996557
Insert 	 186	 At node59	 TIME: 	143.6961320728681
Insert 	 192	 At node37	 TIME: 	144.11379107589778
Insert 	 203	 At node37	 TIME: 	144.19460874251521
Insert 	 197	 At node37	 TIME: 	144.27888437624893
Insert 	 291	 At node34	 TIME: 	144.34196598887587
Insert 	 203	 At node21	 TIME: 	144.50562799317842
Insert 	 197	 At node8	 TIME: 	144.67910294350398
Insert 	 192	 At node7	 TIME: 	144.70770678834404
Insert 	 186	 At node8	 TIME: 	144.70801922880307
Insert 	 185	 At node7	 TIME: 	144.75105821165104
Insert 	 197	 At node7	 TIME: 	144.79036596474015
Insert 	 188	 At node2	 TIME: 	144.87302491439684
Insert 	 192	 At node58	 TIME: 	145.26577470046777
Insert 	 186	 At node58	 TIME: 	145.28222663935634
Insert 	 203	 At node10	 TIME: 	145.7528800260696
Insert 	 197	 At node10	 TIME: 	145.7663768493118
Insert 	 186	 At node10	 TIME: 	145.84023410210804
Insert 	 203	 At node22	 TIME: 	146.02165804089512
Insert 	 188	 At node31	 TIME: 	146.0251044354405
Insert 	 192	 At node31	 TIME: 	146.06623551371456
Insert 	 203	 At node31	 TIME: 	146.13937097989833
Insert 	 291	 At node31	 TIME: 	146.21869935889399
Insert 	 197	 At node50	 TIME: 	146.76078079779072
Insert 	 192	 At node50	 TIME: 	146.80705916916554
Insert 	 192	 At node29	 TIME: 	147.55439474623006
Insert 	 185	 At node29	 TIME: 	147.5976237939252
Insert 	 197	 At node29	 TIME: 	147.67083634920522
Insert 	 203	 At node38	 TIME: 	147.9548001578008
Insert 	 192	 At node44	 TIME: 	147.97374881253978
Insert 	 197	 At node38	 TIME: 	147.99626046037017
Insert 	 203	 At node44	 TIME: 	148.01413005108788
Insert 	 197	 At node44	 TIME: 	148.093947575105
Insert 	 186	 At node44	 TIME: 	148.1601798856889
Insert 	 192	 At node43	 TIME: 	149.62610629637973
Insert 	 203	 At node43	 TIME: 	149.7096605480206
Insert 	 197	 At node43	 TIME: 	149.78512344603286
Insert 	 186	 At node43	 TIME: 	149.84743052697957
Remove 	{151}	 At node15	 TIME: 	150.09646377002284
Remove 	{151}	 At node42	 TIME: 	150.09797440389312
Remove 	{151}	 At node40	 TIME: 	150.1297203150343
Remove 	{151}	 At node3	 TIME: 	150.1449602682917
Remove 	{151}	 At node8	 TIME: 	150.1522161831594
Remove 	{151}	 At node41	 TIME: 	150.15629596532852
Remove 	{151}	 At node16	 TIME: 	150.1835463020209
Remove 	{151}	 At node2	 TIME: 	150.19823832039455
Remove 	{151}	 At node7	 TIME: 	150.19858417954242
Remove 	{73}	 At node1	 TIME: 	150.2005126518172
Remove 	{151}	 At node9	 TIME: 	150.201488174119
Remove 	{151}	 At node4	 TIME: 	150.20733872805897
Remove 	{151}	 At node11	 TIME: 	150.20829066328702
Remove 	{151}	 At node48	 TIME: 	150.2171101665921
Remove 	{151}	 At node10	 TIME: 	150.22238803133598
Remove 	{151}	 At node28	 TIME: 	150.22389985051854
Remove 	{73}	 At node13	 TIME: 	150.233601457833
Remove 	{73}	 At node5	 TIME: 	150.23464767135292
Remove 	{73}	 At node20	 TIME: 	150.23567871180356
Remove 	{151}	 At node46	 TIME: 	150.24247746708818
Remove 	{151}	 At node12	 TIME: 	150.24651572857985
Insert 	 197	 At node4	 TIME: 	150.25021190784253
Remove 	{151}	 At node44	 TIME: 	150.25516669303238
Remove 	{151}	 At node45	 TIME: 	150.257868456406
Remove 	{151}	 At node8	 TIME: 	150.2627947519217
Remove 	{151}	 At node34	 TIME: 	150.26560183219115
Remove 	{73}	 At node6	 TIME: 	150.2696136646514
Remove 	{151}	 At node58	 TIME: 	150.27027501720517
Remove 	{151}	 At node29	 TIME: 	150.2712525312207
